SampleID,Location,Country,Species,Source,Lat_N,Lon_E,IlluminaName,RunID
EA_Sem_Rh_08,Semakau,Singapore,Enhalus acoroides,Rhizome,1.208273,103.756254,AFI1711,MUX8046
EA_Sem_Rh_09,Semakau,Singapore,Enhalus acoroides,Rhizome,1.208273,103.756254,AFI1712,MUX8046
EA_BLANK_06,Blank,Blank,Blank,Blank,1.208273,103.756254,AFI1713,MUX8046
EA_Sem_Rh_10,Semakau,Singapore,Enhalus acoroides,Rhizome,1.208273,103.756254,AFI1714,MUX8046
EA_Sem_Ro_01,Semakau,Singapore,Enhalus acoroides,Root,1.208273,103.756254,AFI1715,MUX8046
EA_Sem_Ro_02,Semakau,Singapore,Enhalus acoroides,Root,1.208273,103.756254,AFI1716,MUX8046
EA_Sem_Ro_03,Semakau,Singapore,Enhalus acoroides,Root,1.208273,103.756254,AFI1717,MUX8046
EA_Sem_Ro_04,Semakau,Singapore,Enhalus acoroides,Root,1.208273,103.756254,AFI1718,MUX8046
EA_Sem_Ro_05,Semakau,Singapore,Enhalus acoroides,Root,1.208273,103.756254,AFI1719,MUX8046
EA_Sem_Ro_06,Semakau,Singapore,Enhalus acoroides,Root,1.208273,103.756254,AFI1720,MUX8046
EA_Sem_Ro_07,Semakau,Singapore,Enhalus acoroides,Root,1.208273,103.756254,AFI1721,MUX8046
EA_Sem_Ro_08,Semakau,Singapore,Enhalus acoroides,Root,1.208273,103.756254,AFI1722,MUX8046
EA_Sem_Ro_09,Semakau,Singapore,Enhalus acoroides,Root,1.208273,103.756254,AFI1723,MUX8046
EA_Sem_Ro_10,Semakau,Singapore,Enhalus acoroides,Root,1.208273,103.756254,AFI1724,MUX8046
EA_Sem_Soil_01,Semakau,Singapore,Enhalus acoroides,Soil,1.208273,103.756254,AFI1725,MUX8046
EA_Sem_Soil_02,Semakau,Singapore,Enhalus acoroides,Soil,1.208273,103.756254,AFI1726,MUX8046
EA_Sem_Soil_03,Semakau,Singapore,Enhalus acoroides,Soil,1.208273,103.756254,AFI1727,MUX8046
EA_Sem_Soil_04,Semakau,Singapore,Enhalus acoroides,Soil,1.208273,103.756254,AFI1728,MUX8046
EA_Sem_Soil_05,Semakau,Singapore,Enhalus acoroides,Soil,1.208273,103.756254,AFI1729,MUX8046
EA_Sem_Soil_06,Semakau,Singapore,Enhalus acoroides,Soil,1.208273,103.756254,AFI1730,MUX8046
EA_Sem_Soil_07,Semakau,Singapore,Enhalus acoroides,Soil,1.208273,103.756254,AFI1731,MUX8046
EA_Sem_Soil_08,Semakau,Singapore,Enhalus acoroides,Soil,1.208273,103.756254,AFI1732,MUX8046
EA_Sem_Soil_09,Semakau,Singapore,Enhalus acoroides,Soil,1.208273,103.756254,AFI1733,MUX8046
EA_Sem_Soil_10,Semakau,Singapore,Enhalus acoroides,Soil,1.208273,103.756254,AFI1734,MUX8046
EA_Per_Le_01,Perhentian,East Malaysia,Enhalus acoroides,Leaf,5.886142,102.741075,AFI1735,MUX8046
EA_Per_Le_02,Perhentian,East Malaysia,Enhalus acoroides,Leaf,5.886142,102.741075,AFI1736,MUX8046
EA_Per_Le_03,Perhentian,East Malaysia,Blank,Blank,5.886142,102.741075,AFI1737,MUX8046
EA_Per_Le_04,Perhentian,East Malaysia,Enhalus acoroides,Leaf,5.886142,102.741075,AFI1738,MUX8046
EA_Per_Le_05,Perhentian,East Malaysia,Enhalus acoroides,Leaf,5.886142,102.741075,AFI1739,MUX8046
EA_Per_Le_06,Perhentian,East Malaysia,Enhalus acoroides,Leaf,5.886142,102.741075,AFI1740,MUX8046
EA_Per_Le_07,Perhentian,East Malaysia,Enhalus acoroides,Leaf,5.886142,102.741075,AFI1741,MUX8046
EA_Per_Le_08,Perhentian,East Malaysia,Enhalus acoroides,Leaf,5.886142,102.741075,AFI1742,MUX8046
EA_Per_Le_09,Perhentian,East Malaysia,Enhalus acoroides,Leaf,5.886142,102.741075,AFI1743,MUX8046
EA_Per_Le_10,Perhentian,East Malaysia,Enhalus acoroides,Leaf,5.886142,102.741075,AFI1744,MUX8046
EA_BLANK_07,Blank,Blank,Blank,Blank,5.886142,102.741075,AFI1745,MUX8046
EA_Per_Rh_01,Perhentian,East Malaysia,Enhalus acoroides,Rhizome,5.886142,102.741075,AFI1746,MUX8046
EA_Per_Rh_02,Perhentian,East Malaysia,Enhalus acoroides,Rhizome,5.886142,102.741075,AFI1747,MUX8046
EA_Per_Rh_03,Perhentian,East Malaysia,Enhalus acoroides,Rhizome,5.886142,102.741075,AFI1748,MUX8046
EA_Per_Rh_04,Perhentian,East Malaysia,Enhalus acoroides,Rhizome,5.886142,102.741075,AFI1749,MUX8046
EA_Per_Rh_05,Perhentian,East Malaysia,Enhalus acoroides,Rhizome,5.886142,102.741075,AFI1750,MUX8046
EA_Per_Rh_06,Perhentian,East Malaysia,Enhalus acoroides,Rhizome,5.886142,102.741075,AFI1751,MUX8046
EA_Per_Rh_07,Perhentian,East Malaysia,Enhalus acoroides,Rhizome,5.886142,102.741075,AFI1752,MUX8046
EA_Per_Rh_08,Perhentian,East Malaysia,Enhalus acoroides,Rhizome,5.886142,102.741075,AFI1753,MUX8046
EA_Per_Rh_09,Perhentian,East Malaysia,Enhalus acoroides,Rhizome,5.886142,102.741075,AFI1754,MUX8046
EA_Per_Rh_10,Perhentian,East Malaysia,Enhalus acoroides,Rhizome,5.886142,102.741075,AFI1755,MUX8046
EA_Per_Ro_01,Perhentian,East Malaysia,Enhalus acoroides,Root,5.886142,102.741075,AFI1756,MUX8046
EA_Per_Ro_02,Perhentian,East Malaysia,Enhalus acoroides,Root,5.886142,102.741075,AFI1757,MUX8046
EA_Per_Ro_03,Perhentian,East Malaysia,Enhalus acoroides,Root,5.886142,102.741075,AFI1758,MUX8046
EA_Per_Ro_04,Perhentian,East Malaysia,Enhalus acoroides,Root,5.886142,102.741075,AFI1759,MUX8046
EA_Per_Ro_05,Perhentian,East Malaysia,Enhalus acoroides,Root,5.886142,102.741075,AFI1760,MUX8046
EA_Per_Ro_06,Perhentian,East Malaysia,Enhalus acoroides,Root,5.886142,102.741075,AFI1761,MUX8046
EA_Per_Ro_07,Perhentian,East Malaysia,Enhalus acoroides,Root,5.886142,102.741075,AFI1762,MUX8046
EA_Per_Ro_08,Perhentian,East Malaysia,Enhalus acoroides,Root,5.886142,102.741075,AFI1763,MUX8046
EA_Per_Ro_09,Perhentian,East Malaysia,Enhalus acoroides,Root,5.886142,102.741075,AFI1764,MUX8046
EA_Per_Ro_10,Perhentian,East Malaysia,Enhalus acoroides,Root,5.886142,102.741075,AFI1765,MUX8046
EA_Per_Soil_01,Perhentian,East Malaysia,Enhalus acoroides,Soil,5.886142,102.741075,AFI1766,MUX8046
EA_Per_Soil_02,Perhentian,East Malaysia,Enhalus acoroides,Soil,5.886142,102.741075,AFI1767,MUX8046
EA_Per_Soil_03,Perhentian,East Malaysia,Enhalus acoroides,Soil,5.886142,102.741075,AFI1768,MUX8046
EA_Per_Soil_04,Perhentian,East Malaysia,Enhalus acoroides,Soil,5.886142,102.741075,AFI1769,MUX8046
EA_Per_Soil_05,Perhentian,East Malaysia,Enhalus acoroides,Soil,5.886142,102.741075,AFI1770,MUX8046
EA_Per_Soil_06,Perhentian,East Malaysia,Enhalus acoroides,Soil,5.886142,102.741075,AFI1771,MUX8046
EA_Per_Soil_07,Perhentian,East Malaysia,Enhalus acoroides,Soil,5.886142,102.741075,AFI1772,MUX8046
EA_Per_Soil_08,Perhentian,East Malaysia,Enhalus acoroides,Soil,5.886142,102.741075,AFI1773,MUX8046
EA_Per_Soil_09,Perhentian,East Malaysia,Enhalus acoroides,Soil,5.886142,102.741075,AFI1774,MUX8046
EA_Per_Soil_10,Perhentian,East Malaysia,Enhalus acoroides,Soil,5.886142,102.741075,AFI1775,MUX8046
Pa_KU_01,Singapore Coral ITS1_27F,Singapore,P acuta,Coral,NA,NA,AFI1776,MUX8046
Pa_KU_02,Singapore Coral ITS1_27F,Singapore,P acuta,Coral,NA,NA,AFI1777,MUX8046
Pa_KU_03,Singapore Coral ITS1_27F,Singapore,P acuta,Coral,NA,NA,AFI1778,MUX8046
Pa_KU_04,Singapore Coral ITS1_27F,Singapore,P acuta,Coral,NA,NA,AFI1779,MUX8046
Pa_KU_05,Singapore Coral ITS1_27F,Singapore,P acuta,Coral,NA,NA,AFI1780,MUX8046
Pa_KU_06,Singapore Coral ITS1_27F,Singapore,P acuta,Coral,NA,NA,AFI1781,MUX8046
Pa_KU_07,Singapore Coral ITS1_27F,Singapore,P acuta,Coral,NA,NA,AFI1782,MUX8046
Pa_KU_08,Singapore Coral ITS1_27F,Singapore,P acuta,Coral,NA,NA,AFI1783,MUX8046
SS_Po_01A,Singapore Coral ITS1_27F,Singapore,P lutea,Coral,NA,NA,AFI1784,MUX8046
SS_Po_02A,Singapore Coral ITS1_27F,Singapore,P lutea,Coral,NA,NA,AFI1785,MUX8046
SS_Po_03A,Singapore Coral ITS1_27F,Singapore,P lutea,Coral,NA,NA,AFI1786,MUX8046
SS_Po_04A,Singapore Coral ITS1_27F,Singapore,P lutea,Coral,NA,NA,AFI1787,MUX8046
SS_Po_05A,Singapore Coral ITS1_27F,Singapore,P lutea,Coral,NA,NA,AFI1788,MUX8046
SS_Po_06A,Singapore Coral ITS1_27F,Singapore,P lutea,Coral,NA,NA,AFI1789,MUX8046
SS_Po_07A,Singapore Coral ITS1_27F,Singapore,P lutea,Coral,NA,NA,AFI1790,MUX8046
SS_Po_08A,Singapore Coral ITS1_27F,Singapore,P lutea,Coral,NA,NA,AFI1791,MUX8046
